,product_name_list,price_lst
338,مكاتي -  حليب جوز الهند ٤١٤ مل,4.0
339,كيندر - بوينو قطعتان مغلفة فردياً ٤٣غرام,2.0
340,هرشيز - رقائق شوكولاتة شبه محلاة ٢٧٥ غرام,12.0
341,ساديا - صدور دجاج بالبقسماط ٤٨٠ غرام,9.0
342,بريك - أصابع ويفر بالشوكولاتة ٢٤*١٥.٥ غرام,12.0
343,طيبات الامارات - فطيرة ٥ قطع,4.0
344,بيرفيتو - مكرونة فيتوتشيني ٤٠٠ غرام,4.0
345,بوني - حليب مبخر كامل الدسم  ١٧٠غرام,3.0
346,مكفتيز دايجستف - كرات البسكويت مغطاة بشوكولاتة الحليب ١٢٠ غرام,7.0
347,ساديا - بطاطس مقلية مجمدة رفيعة ٢.٥ كغم,23.0
348,برينجلز - رقائق البطاطس بنكهة الشواء ١٦٥غرام,9.0
349,كادبري - شوكولاتة ديري ميلك بابلز ٤*٢٨ غرام  + ١ مجانا,6.0
350,الشفاء - عسل طبيعي ١ كغم,55.0
351,فيمتو - شراب بنكهة التوت ٢٥٠ مل,1.0
352,سيمبلي سفن - رقائق العدس بنكهة الهالبينو ٣.٦٥ اونصة,10.0
353,شوكابيك - رقائق القمح الكاملة بطعم الشوكولاتة  ٣٧٥ غرام,18.0
354,زيتون كالاماتا وسط,31.0
355,ساديا - ناجتس دجاج مقرمش ٢٧٠ غرام,11.0
356,لوتس - زبدة البسكويت قابلة للدهن ٤٠٠ غرام +١٠٠ غرام مجاناً,21.0
357,قودي - مايونيز لايت  ٣٣٢ مل,12.0
358,مارس مينيتورس - شوكولاتة بالحليب بالنوغة الطرية محشوة بالكراميل ١٥٠ غرام,13.0
359,سفن أب ٣٣٠ مل,2.0
360,تويكس- شوكولاتة  ميني  ٢٧٥ غرام,12.0
361,ام اند امز - حبات من الشوكولاتة محشوة فول سوداني بغلاف مقرمش١٨٠ غرام,13.0
362,تيشوب رينجو - ويفر رول  محشوة بالبندق والشوكولاتة  ١٢*١٦غرام,11.0
363,ناتشر فالي - ألواح الغرانولا المقرمشة بالشوفان والعسل ٦*٤٢ جرام,13.0
364,كويكر - كوكيز الشوفان مع قطع الشوكولاتة ١٢٦ غرام,6.0
365,قودي - فشار ٢٨٤غرام,4.0
366,ربيع - شاي التوليفة الفاخرة ١٠٠كيس,19.0
367,السنبلة - رقائق السبرنج رول ١٦٠ غرام,4.0
368,سفن اب ٢.٢٥لتر,8.0
369,ميرندا حمضيات ٢٤*٣٣٠ مل,59.0
370,ديليسيو - رائحة الفانيلا ٢٨ مل,2.0
371,السنبلة - بطاطس مقلية مجمدة ٢.٥ كغم,9.0
372,السنبلة - براتا بالطعم الآسيوي ٤٠٠ غرام,4.0
